Transaction_ID,Date,Customer_ID,Product_ID,Branch_ID,Sales_Channel,Quantity,Discount_Rate
TXN-000001,2023-05-17,CUST-0912,PROD-109,BR-02,Store,1,0.0
TXN-000002,2024-01-13,CUST-2804,PROD-101,BR-12,Store,1,0.05
TXN-000003,2024-11-06,CUST-0118,PROD-101,BR-01,STORE,1,0.0
TXN-000004,2024-11-27,CUST-1373,PROD-102,BR-04,online,1,0.05
TXN-000005,2024-03-14,CUST-1938,PROD-107,BR-01,Online ,1,0.05
TXN-000006,2023-11-19,CUST-2419,PROD-105,BR-02,online,4,0.0
TXN-000007,2023-10-07,CUST-3140,PROD-101,BR-03,STORE,1,0.1
TXN-000008,2024-06-16,CUST-3436,PROD-101,BR-04,Online,1,0.0
TXN-000009,2023-02-12,CUST-0853,PROD-105,BR-02,Store,1,0.1
TXN-000010,2023-10-14,CUST-3311,PROD-105,BR-05,Online ,1,0.0
TXN-000011,2023-05-14,CUST-0308,PROD-106,BR-10,Store,1,0.0
TXN-000012,2023-05-07,CUST-0574,PROD-104,BR-06,online,1,
TXN-000013,2024-02-19,CUST-2431,PROD-104,BR-05,online,2,0.05
TXN-000014,2023-10-28,CUST-2744,PROD-101,BR-03,Online ,1,0.0
TXN-000015,2023-11-03,CUST-2039,PROD-105,BR-09,Online,1,0.0
TXN-000016,2023-06-15,CUST-2698,PROD-104,BR-06,Store,1,0.05
TXN-000017,2023-05-16,CUST-2328,PROD-103,BR-08,Online ,1,0.1
TXN-000018,2023-02-07,CUST-0417,PROD-109,BR-10,Online,2,0.0
TXN-000019,2023-09-04,CUST-0008,PROD-102,BR-10,online,1,0.0
TXN-000020,2023-11-28,CUST-2368,PROD-110,BR-11,Online ,2,0.0
TXN-000021,2024-06-15,CUST-1554,PROD-101,BR-09,Store,1,0.1
TXN-000022,2024-10-02,CUST-0385,PROD-110,BR-01,STORE,1,0.05
TXN-000023,2024-08-09,CUST-1957,PROD-106,BR-05,STORE,1,0.0
TXN-000024,2023-10-21,CUST-1403,PROD-103,BR-11,online,1,0.05
TXN-000025,2023-11-19,CUST-2949,PROD-102,BR-11,online,1,0.1
TXN-000026,2023-06-29,CUST-1197,PROD-106,BR-04,Online ,1,0.05
TXN-000027,2023-03-07,CUST-2188,PROD-107,BR-11,Store,2,0.0
TXN-000028,2023-12-04,CUST-2798,PROD-109,BR-05,Online,1,0.1
TXN-000029,2024-10-25,CUST-0721,PROD-103,BR-08,Online ,1,0.05
TXN-000030,2024-05-08,CUST-2219,PROD-111,BR-04,Store,1,0.0
TXN-000031,2023-08-26,CUST-0488,PROD-109,BR-08,online,2,0.0
TXN-000032,2023-10-10,CUST-2390,PROD-101,BR-09,STORE,2,0.0
TXN-000033,2024-05-29,CUST-0302,PROD-104,BR-09,Store,1,0.0
TXN-000034,2023-06-26,CUST-1041,PROD-102,BR-05,Online ,1,0.1
TXN-000035,2024-06-19,CUST-2706,PROD-101,BR-06,online,1,0.0
TXN-000036,2024-08-13,CUST-1163,PROD-110,BR-08,STORE,1,0.0
TXN-000037,2024-10-31,CUST-0101,PROD-103,BR-09,Online ,1,0.0
TXN-000038,2024-07-15,CUST-0602,PROD-102,BR-12,Online ,1,0.0
TXN-000039,2023-09-12,CUST-2525,PROD-106,BR-08,Store,2,0.0
TXN-000040,2024-03-02,CUST-3466,PROD-105,BR-01,STORE,1,0.1
TXN-000041,2024-02-20,CUST-2945,PROD-101,BR-10,STORE,1,0.0
TXN-000042,2023-11-17,CUST-1814,PROD-104,BR-12,online,1,0.0
TXN-000043,2024-10-21,CUST-1375,PROD-106,BR-07,Online,1,0.0
TXN-000044,2024-02-05,CUST-0085,PROD-110,BR-02,STORE,2,0.05
TXN-000045,2023-02-21,CUST-1515,PROD-107,BR-01,online,4,0.0
TXN-000046,2023-07-29,CUST-2072,PROD-110,BR-07,STORE,1,0.0
TXN-000047,2023-01-03,CUST-0081,PROD-108,BR-05,STORE,1,0.0
TXN-000048,2023-10-20,CUST-1476,PROD-101,BR-02,online,1,0.0
TXN-000049,2024-03-10,CUST-2331,PROD-104,BR-11,STORE,1,0.1
TXN-000050,2023-05-07,CUST-2656,PROD-103,BR-08,online,2,
TXN-000051,2023-02-08,CUST-0777,PROD-103,BR-12,Store,1,0.05
TXN-000052,2024-06-22,CUST-3388,PROD-101,BR-04,STORE,2,0.15
TXN-000053,2023-06-11,CUST-1417,PROD-109,BR-07,Online,1,0.05
TXN-000054,2023-09-20,CUST-3415,PROD-101,BR-03,Online ,1,0.0
TXN-000055,2024-06-23,CUST-0340,PROD-104,BR-12,Store,1,
TXN-000056,2024-04-11,CUST-2866,PROD-107,BR-11,STORE,1,0.0
TXN-000057,2024-09-07,CUST-0323,PROD-110,BR-05,STORE,2,0.0
TXN-000058,2024-02-16,CUST-0155,PROD-101,BR-11,online,1,0.15
TXN-000059,2023-09-30,CUST-2288,PROD-108,BR-05,STORE,1,0.0
