InvoiceNo,OrderDate,CustomerID,ProductID,CountryID,Quantity,UnitPrice,UnitCost
INV-2024-36099,2024/02/21,,PRD-138,SA,1,1673.87,1419
INV-2024-35929,2024-09-23,1158.0,PRD-149,SA,7,2086.53,1672
INV-2024-47237,2025-01-23,1263.0,PRD-138,EG,10,2294.6,1718
INV-2024-32825,2024-12-01,1396.0,PRD-103,AE,4,1836.86,1546
INV-2024-38697,2024-08-04,1285.0,PRD-131,SA,9,1348.25,1112
INV-2024-44340,2025-04-10,1170.0,PRD-136,EG,3,1367.62,1003
INV-2024-32843,2024-11-30,1345.0,PRD-108,JO,6,157.68,126
INV-2024-54540,2024-12-11,1437.0,PRD-108,AE,5,658.46,539
INV-2024-82680,2025-01-23,1107.0,PRD-128,JO,6,643.67,447
INV-2024-42239,2024-10-11,1301.0,PRD-133,AE,6,2599.08,1859
INV-2024-33401,2025-03-07,1373.0,PRD-151,SA,4,2041.54,1702
INV-2024-35688,2024-09-15,1047.0,PRD-114,SA,2,2048.08,1506
INV-2024-12817,2024-03-24,1370.0,PRD-160,JO,2,1358.29,1164
INV-2024-33078,2025-04-26,1124.0,PRD-126,AE,10,324.88,237
INV-2024-44313,2024-01-20,1253.0,PRD-126,EG,4,419.82,325
INV-2024-23263,2025/07/06,1116.0,PRD-142,EG,1,2399.85,1857
INV-2024-12751,2024-02-23,1371.0,PRD-105,EG,2,325.17,221
INV-2024-98795,2024-12-24,1255.0,PRD-165,AE,6,1002.3,847
INV-2024-27988,2024-08-17,1440.0,PRD-165,JO,7,2209.88,1645
INV-2024-59666,2025-10-27,1006.0,PRD-102,EG,3,685.51,477
INV-2024-95835,2024-03-11,1301.0,PRD-104,SA,2,1045.55,735
INV-2024-24544,2025-10-29,1282.0,PRD-115,EG,3,2398.67,1765
INV-2024-54352,2024-02-11,1126.0,PRD-102,JO,7,964.11,733
INV-2024-37556,2024-02-01,1136.0,PRD-164,AE,5,2589.75,1735
INV-2024-49986,2024-09-10,1492.0,PRD-116,AE,7,2218.12,1927
INV-2024-69795,23-Jul-2024,1201.0,PRD-128,SA,6,1852.54,1298
INV-2024-41476,2024-01-21,1454.0,PRD-118,SA,1,259.34,206
INV-2024-58449,2025-09-28,1414.0,PRD-110,EG,2,2445.38,1833
INV-2024-58804,2024-06-05,1056.0,PRD-137,EG,9,796.42,648
INV-2024-96626,2024-09-01,1272.0,PRD-151,AE,8,1085.38,752
INV-2024-32460,2024/05/09,1388.0,PRD-118,AE,7,541.95,448
INV-2024-79065,2025-04-29,1483.0,PRD-121,JO,4,1758.01,1292
INV-2024-91684,2025-11-16,1038.0,PRD-119,JO,4,1213.85,974
INV-2024-66848,2024-04-27,1215.0,PRD-144,SA,2,294.95,238
INV-2024-18569,2025-07-31,1357.0,PRD-105,AE,5,420.88,316
INV-2024-25531,2024-08-11,1482.0,PRD-153,JO,1,2234.63,1748
INV-2024-28931,2025-04-21,1399.0,PRD-103,AE,6,708.77,536
INV-2024-27143,2025-12-17,1220.0,PRD-151,EG,7,2353.82,1669
INV-2024-34856,2024-09-19,1060.0,PRD-113,SA,3,1313.53,923
INV-2024-35124,2025-01-12,1481.0,PRD-103,EG,1,2414.36,1983
INV-2024-79803,2024-06-20,,PRD-108,JO,4,1015.21,789
INV-2024-59570,2025-09-12,1419.0,PRD-112,SA,1,1012.48,841
INV-2024-59054,2025-09-13,1038.0,PRD-159,EG,6,2786.34,1975
INV-2024-51674,2024-04-27,1488.0,PRD-113,SA,3,1989.4,1622
INV-2024-88584,2024-06-16,1183.0,PRD-144,SA,1,2241.94,1724
INV-2024-66300,2024/11/14,1224.0,PRD-124,EG,10,359.01,272
INV-2024-93380,2024-04-20,1218.0,PRD-163,EG,9,2006.74,1369
INV-2024-42053,2025-08-15,1269.0,PRD-127,SA,5,909.57,644
INV-2024-16054,2024-01-27,1060.0,PRD-106,SA,4,983.62,672
INV-2024-90744,2024-11-15,1407.0,PRD-101,AE,9,1374.7,966
INV-2024-86981,12-Aug-2025,1153.0,PRD-144,SA,4,1489.74,1026
INV-2024-34785,2025-11-24,1209.0,PRD-118,AE,1,596.2,484
INV-2024-80184,2025-01-19,1315.0,PRD-148,SA,2,188.55,159
INV-2024-48559,2025-02-10,1232.0,PRD-148,SA,1,1854.75,1290
INV-2024-29472,2024-07-22,1189.0,PRD-165,AE,10,1731.68,1239
INV-2024-52949,2024-03-18,1147.0,PRD-138,SA,10,623.39,422
INV-2024-42397,2025-08-29,1131.0,PRD-158,EG,10,2057.16,1703
INV-2024-16980,2025-12-08,1393.0,PRD-154,EG,10,1750.91,1222
INV-2024-92504,2025-10-04,1426.0,PRD-138,AE,9,1857.26,1364
INV-2024-46709,2024-09-05,1046.0,PRD-159,SA,9,786.53,655
INV-2024-26575,2024/04/14,1297.0,PRD-147,AE,7,2008.22,1354
INV-2024-76619,2025-12-14,1076.0,PRD-132,EG,6,1431.54,1207
INV-2024-86556,2024-11-04,1396.0,PRD-103,EG,9,2349.35,1867
INV-2024-74092,2025-12-01,1489.0,PRD-125,EG,3,2278.75,1873
INV-2024-37425,2025-09-06,1430.0,PRD-124,EG,4,927.92,652
INV-2024-20670,2024-05-03,1207.0,PRD-156,SA,10,1777.52,1196
INV-2024-71691,2025-08-02,1209.0,PRD-108,EG,10,1716.21,1482
INV-2024-96966,2024-02-12,1080.0,PRD-161,SA,7,1621.22,1361
INV-2024-90594,2024-12-21,1498.0,PRD-154,JO,1,1779.61,1364
INV-2024-18503,2025-06-29,1159.0,PRD-128,EG,9,2967.82,1981
INV-2024-31945,2025-03-14,1267.0,PRD-130,SA,10,633.28,501
INV-2024-76665,2025-11-08,1333.0,PRD-147,AE,4,2801.97,1890
INV-2024-60871,2025-01-14,1337.0,PRD-118,EG,9,1849.8,1600
INV-2024-94550,2024-03-11,1424.0,PRD-137,SA,1,2397.7,1887
INV-2024-76736,2025-06-02,1455.0,PRD-153,AE,2,499.83,341
INV-2024-59055,2025/10/25,1175.0,PRD-156,JO,1,1680.7,1174
INV-2024-75350,2024-12-15,1208.0,PRD-119,EG,10,2056.19,1612
INV-2024-78012,2024-01-13,1223.0,PRD-119,JO,5,343.25,241
INV-2024-70852,2025-03-06,1294.0,PRD-149,SA,7,975.78,755
INV-2024-33461,2025-05-16,1473.0,PRD-110,EG,4,107.73,80
INV-2024-52182,2024-04-18,,PRD-155,SA,3,1969.68,1619
INV-2024-59005,2025-03-19,1293.0,PRD-141,JO,6,2741.95,1941
INV-2024-78875,2025-01-05,1432.0,PRD-133,SA,4,2040.53,1641
INV-2024-73346,2025-10-12,1124.0,PRD-120,EG,10,2386.61,1680
INV-2024-74853,2025-04-15,1321.0,PRD-135,SA,1,2088.56,1800
INV-2024-72096,2025-12-25,1245.0,PRD-122,EG,4,59.92,52
INV-2024-45171,2024-06-05,1308.0,PRD-156,EG,7,2785.36,1908
INV-2024-86177,2025-03-21,1029.0,PRD-109,EG,2,2622.99,1757
INV-2024-62552,2024-06-29,1258.0,PRD-150,EG,4,239.22,203
INV-2024-93637,2025-06-18,1417.0,PRD-125,EG,10,1057.11,735
INV-2024-86543,2025/10/28,1025.0,PRD-104,EG,2,1091.81,818
INV-2024-95162,2024-10-03,1042.0,PRD-136,SA,5,1824.1,1339
INV-2024-14797,2025-09-22,1028.0,PRD-142,EG,8,1257.39,885
INV-2024-37158,2025-07-05,1447.0,PRD-126,EG,10,2602.49,1994
INV-2024-38773,2025-05-10,1322.0,PRD-153,AE,3,215.04,153
INV-2024-36607,2025-04-21,1327.0,PRD-129,SA,5,697.0,603
INV-2024-69255,2025-03-22,1226.0,PRD-164,SA,8,1593.12,1276
INV-2024-40721,2025-08-29,1030.0,PRD-121,EG,8,2233.56,1863
INV-2024-61891,2024-10-01,1391.0,PRD-152,EG,7,1703.6,1425
INV-2024-38651,2024-11-26,1177.0,PRD-118,EG,1,1696.86,1187
INV-2024-50107,08-Sep-2024,1372.0,PRD-163,EG,8,2490.77,1939
INV-2024-65708,2024-03-29,1083.0,PRD-107,EG,10,2187.98,1482
INV-2024-59425,2024-10-12,1394.0,PRD-109,EG,5,123.75,96
INV-2024-84890,2025-04-06,1035.0,PRD-134,EG,4,556.75,456
INV-2024-30605,2024-09-06,1046.0,PRD-130,EG,3,2465.76,1957
INV-2024-59034,2025/04/20,1104.0,PRD-122,SA,6,2861.23,1925
INV-2024-43361,2025-08-06,1240.0,PRD-114,EG,9,2294.17,1948
INV-2024-82161,2025-09-16,1105.0,PRD-102,EG,3,1704.86,1438
INV-2024-21109,2025-11-15,1001.0,PRD-121,SA,7,343.45,280
INV-2024-27606,2025-01-23,1122.0,PRD-155,SA,9,1792.19,1421
INV-2024-21013,2024-12-10,1254.0,PRD-160,EG,9,1825.9,1224
INV-2024-48672,2024-01-30,1063.0,PRD-149,AE,4,648.08,496
INV-2024-68262,2025-05-21,1158.0,PRD-138,SA,5,1474.19,1263
INV-2024-78002,2024-11-28,1443.0,PRD-122,EG,10,829.54,711
INV-2024-56081,2024-07-05,1151.0,PRD-151,AE,9,205.7,138
INV-2024-40169,2025-05-14,1221.0,PRD-113,JO,5,948.38,633
INV-2024-86541,2024-08-05,1232.0,PRD-131,EG,4,1789.49,1446
INV-2024-15392,2024-12-29,1204.0,PRD-114,EG,8,1358.96,1144
INV-2024-70981,2024-09-21,1464.0,PRD-119,AE,8,2235.84,1567
INV-2024-77143,2024-12-14,1469.0,PRD-122,AE,3,234.45,203
INV-2024-91412,2024/10/13,,PRD-121,EG,2,2443.15,1848
INV-2024-54089,2025-09-02,1053.0,PRD-124,EG,4,777.77,584
INV-2024-65850,2025-12-19,1088.0,PRD-154,EG,10,1482.25,1168
INV-2024-69133,2024-10-09,1402.0,PRD-163,SA,10,1165.33,946
INV-2024-71282,2025-07-23,1444.0,PRD-155,SA,4,2647.16,1841
INV-2024-66689,11-Jan-2024,1449.0,PRD-132,EG,2,2376.01,1786
INV-2024-63602,2025-06-13,1210.0,PRD-141,SA,1,913.98,743
INV-2024-58170,2024-07-14,1492.0,PRD-158,AE,1,1509.04,1059
INV-2024-75213,2024-03-28,1207.0,PRD-155,EG,2,1288.43,978
INV-2024-51552,2024-09-04,1207.0,PRD-108,EG,8,780.9,533
INV-2024-45785,2025-02-20,1441.0,PRD-119,AE,1,1129.82,797
INV-2024-60118,2025-05-15,1277.0,PRD-149,AE,3,306.5,222
INV-2024-13239,2025-07-22,1093.0,PRD-122,SA,4,1702.28,1338
INV-2024-33536,2024-09-03,1045.0,PRD-121,SA,7,2096.22,1440
INV-2024-67892,2025-12-08,1008.0,PRD-147,EG,6,1726.51,1154
INV-2024-40643,2025/05/02,1352.0,PRD-114,SA,5,1186.04,879
INV-2024-44815,2025-10-23,1268.0,PRD-110,SA,3,295.73,198
INV-2024-94587,2025-12-29,1168.0,PRD-118,EG,10,1286.6,864
INV-2024-19946,2025-05-17,1286.0,PRD-106,EG,10,1624.94,1144
