RecordID,EmployeeID,Date,AbsentDays,OvertimeHours,MonthlyBonus,Deductions
1,EMP-2001,2024-01-01,0,18,225.0,0.0
2,EMP-2003,2024-01-01,3,0,0.0,99.5
3,EMP-2004,2024-01-01,0,15,187.5,0.0
4,EMP-2005,2024-01-01,0,6,75.0,0.0
5,EMP-2006,2024-01-01,0,20,250.0,0.0
6,EMP-2008,2024-01-01,0,14,175.0,0.0
7,EMP-2010,2024-01-01,0,7,87.5,0.0
8,EMP-2011,2024-01-01,3,0,0.0,134.2
9,EMP-2012,2024-01-01,3,0,0.0,97.1
10,EMP-2014,2024-01-01,0,16,200.0,0.0
11,EMP-2015,2024-01-01,1,0,0.0,57.33
12,EMP-2016,2024-01-01,0,18,225.0,0.0
13,EMP-2017,2024-01-01,0,10,125.0,0.0
14,EMP-2018,2024-01-01,0,20,250.0,0.0
15,EMP-2019,2024-01-01,0,6,75.0,0.0
16,EMP-2020,2024-01-01,0,13,162.5,0.0
17,EMP-2024,2024-01-01,0,0,0.0,0.0
18,EMP-2025,2024-01-01,3,0,0.0,90.3
19,EMP-2026,2024-01-01,0,4,50.0,0.0
20,EMP-2027,2024-01-01,0,6,75.0,0.0
21,EMP-2028,2024-01-01,0,10,125.0,0.0
22,EMP-2029,2024-01-01,0,2,25.0,0.0
23,EMP-2030,2024-01-01,0,14,175.0,0.0
24,EMP-2031,2024-01-01,1,0,0.0,145.57
25,EMP-2032,2024-01-01,0,5,62.5,0.0
26,EMP-2034,2024-01-01,0,15,187.5,0.0
27,EMP-2036,2024-01-01,0,20,250.0,0.0
28,EMP-2037,2024-01-01,0,9,112.5,0.0
29,EMP-2039,2024-01-01,0,16,200.0,0.0
30,EMP-2040,2024-01-01,0,0,0.0,0.0
31,EMP-2041,2024-01-01,0,5,62.5,0.0
32,EMP-2042,2024-01-01,0,4,50.0,0.0
33,EMP-2043,2024-01-01,0,4,50.0,0.0
34,EMP-2044,2024-01-01,0,13,162.5,0.0
35,EMP-2047,2024-01-01,0,17,212.5,0.0
36,EMP-2049,2024-01-01,0,14,175.0,0.0
37,EMP-2050,2024-01-01,1,0,0.0,45.2
38,EMP-2051,2024-01-01,3,0,0.0,121.8
39,EMP-2052,2024-01-01,2,0,0.0,211.67
40,EMP-2053,2024-01-01,5,0,0.0,179.0
41,EMP-2055,2024-01-01,0,7,87.5,0.0
42,EMP-2056,2024-01-01,0,15,187.5,0.0
43,EMP-2057,2024-01-01,0,17,212.5,0.0
44,EMP-2058,2024-01-01,0,20,250.0,0.0
45,EMP-2059,2024-01-01,2,0,0.0,90.87
46,EMP-2060,2024-01-01,1,0,0.0,29.3
47,EMP-2061,2024-01-01,0,19,237.5,0.0
48,EMP-2062,2024-01-01,5,0,0.0,218.0
49,EMP-2063,2024-01-01,1,0,0.0,54.8
50,EMP-2064,2024-01-01,0,13,162.5,0.0
51,EMP-2065,2024-01-01,2,0,0.0,112.2
52,EMP-2066,2024-01-01,1,0,0.0,117.4
53,EMP-2069,2024-01-01,1,0,0.0,30.8
54,EMP-2070,2024-01-01,0,10,125.0,0.0
55,EMP-2071,2024-01-01,0,6,75.0,0.0
56,EMP-2072,2024-01-01,0,8,100.0,0.0
57,EMP-2073,2024-01-01,0,1,12.5,0.0
58,EMP-2074,2024-01-01,0,13,162.5,0.0
59,EMP-2075,2024-01-01,0,0,0.0,0.0
60,EMP-2076,2024-01-01,1,0,0.0,27.37
61,EMP-2078,2024-01-01,0,5,62.5,0.0
62,EMP-2081,2024-01-01,1,0,0.0,57.93
63,EMP-2082,2024-01-01,0,0,0.0,0.0
64,EMP-2083,2024-01-01,0,15,187.5,0.0
65,EMP-2084,2024-01-01,0,7,87.5,0.0
66,EMP-2085,2024-01-01,0,18,225.0,0.0
67,EMP-2086,2024-01-01,0,14,175.0,0.0
68,EMP-2087,2024-01-01,0,4,50.0,0.0
69,EMP-2089,2024-01-01,0,18,225.0,0.0
70,EMP-2090,2024-01-01,0,8,100.0,0.0
71,EMP-2091,2024-01-01,2,0,0.0,242.6
72,EMP-2093,2024-01-01,0,20,250.0,0.0
73,EMP-2094,2024-01-01,0,3,37.5,0.0
74,EMP-2095,2024-01-01,0,17,212.5,0.0
75,EMP-2096,2024-01-01,3,0,0.0,109.3
76,EMP-2098,2024-01-01,0,14,175.0,0.0
77,EMP-2101,2024-01-01,0,18,225.0,0.0
78,EMP-2102,2024-01-01,0,0,0.0,0.0
79,EMP-2103,2024-01-01,1,0,0.0,30.73
80,EMP-2104,2024-01-01,0,5,62.5,0.0
81,EMP-2105,2024-01-01,0,9,112.5,0.0
82,EMP-2107,2024-01-01,2,0,0.0,60.53
83,EMP-2108,2024-01-01,0,8,100.0,0.0
84,EMP-2109,2024-01-01,3,0,0.0,154.1
85,EMP-2110,2024-01-01,1,0,0.0,117.03
86,EMP-2112,2024-01-01,0,0,0.0,0.0
87,EMP-2113,2024-01-01,0,1,12.5,0.0
88,EMP-2115,2024-01-01,0,2,25.0,0.0
89,EMP-2116,2024-01-01,2,0,0.0,64.27
90,EMP-2117,2024-01-01,0,15,187.5,0.0
91,EMP-2120,2024-01-01,3,0,0.0,149.4
92,EMP-2121,2024-01-01,0,7,87.5,0.0
93,EMP-2122,2024-01-01,0,9,112.5,0.0
94,EMP-2123,2024-01-01,0,5,62.5,0.0
95,EMP-2124,2024-01-01,0,18,225.0,0.0
96,EMP-2127,2024-01-01,0,12,150.0,0.0
97,EMP-2129,2024-01-01,0,11,137.5,0.0
98,EMP-2130,2024-01-01,1,0,0.0,45.0
99,EMP-2131,2024-01-01,0,9,112.5,0.0
100,EMP-2133,2024-01-01,0,3,37.5,0.0
101,EMP-2136,2024-01-01,1,0,0.0,70.8
102,EMP-2137,2024-01-01,0,12,150.0,0.0
103,EMP-2139,2024-01-01,0,20,250.0,0.0
104,EMP-2142,2024-01-01,0,9,112.5,0.0
105,EMP-2143,2024-01-01,0,11,137.5,0.0
106,EMP-2144,2024-01-01,0,2,25.0,0.0
107,EMP-2145,2024-01-01,0,8,100.0,0.0
108,EMP-2147,2024-01-01,0,2,25.0,0.0
109,EMP-2148,2024-01-01,0,9,112.5,0.0
110,EMP-2149,2024-01-01,0,9,112.5,0.0
111,EMP-2150,2024-01-01,0,13,162.5,0.0
112,EMP-2151,2024-01-01,0,19,237.5,0.0
113,EMP-2152,2024-01-01,0,0,0.0,0.0
114,EMP-2156,2024-01-01,0,10,125.0,0.0
115,EMP-2157,2024-01-01,0,16,200.0,0.0
116,EMP-2158,2024-01-01,1,0,0.0,53.9
117,EMP-2159,2024-01-01,0,13,162.5,0.0
118,EMP-2160,2024-01-01,0,3,37.5,0.0
119,EMP-2161,2024-01-01,0,15,187.5,0.0
120,EMP-2164,2024-01-01,0,8,100.0,0.0
121,EMP-2165,2024-01-01,0,2,25.0,0.0
122,EMP-2167,2024-01-01,0,10,125.0,0.0
123,EMP-2168,2024-01-01,1,0,0.0,44.7
124,EMP-2170,2024-01-01,0,12,150.0,0.0
125,EMP-2171,2024-01-01,0,6,75.0,0.0
126,EMP-2172,2024-01-01,0,9,112.5,0.0
127,EMP-2173,2024-01-01,0,6,75.0,0.0
128,EMP-2174,2024-01-01,1,0,0.0,118.1
129,EMP-2175,2024-01-01,0,6,75.0,0.0
130,EMP-2177,2024-01-01,0,15,187.5,0.0
131,EMP-2178,2024-01-01,0,1,12.5,0.0
132,EMP-2180,2024-01-01,1,0,0.0,36.43
133,EMP-2181,2024-01-01,0,8,100.0,0.0
134,EMP-2182,2024-01-01,0,4,50.0,0.0
135,EMP-2183,2024-01-01,1,0,0.0,35.7
136,EMP-2184,2024-01-01,0,10,125.0,0.0
137,EMP-2185,2024-01-01,0,6,75.0,0.0
138,EMP-2186,2024-01-01,1,0,0.0,35.3
139,EMP-2187,2024-01-01,0,13,162.5,0.0
140,EMP-2188,2024-01-01,0,7,87.5,0.0
141,EMP-2189,2024-01-01,1,0,0.0,99.8
142,EMP-2190,2024-01-01,0,14,175.0,0.0
143,EMP-2191,2024-01-01,0,0,0.0,0.0
144,EMP-2192,2024-01-01,0,3,37.5,0.0
145,EMP-2194,2024-01-01,1,0,0.0,51.73
146,EMP-2197,2024-01-01,0,11,137.5,0.0
147,EMP-2198,2024-01-01,1,0,0.0,30.57
148,EMP-2200,2024-01-01,0,12,150.0,0.0
149,EMP-2201,2024-01-01,0,5,62.5,0.0
150,EMP-2203,2024-01-01,0,5,62.5,0.0
151,EMP-2204,2024-01-01,1,0,0.0,121.1
152,EMP-2206,2024-01-01,0,11,137.5,0.0
153,EMP-2208,2024-01-01,0,3,37.5,0.0
154,EMP-2210,2024-01-01,1,0,0.0,31.37
155,EMP-2211,2024-01-01,0,20,250.0,0.0
156,EMP-2212,2024-01-01,1,0,0.0,36.07
157,EMP-2214,2024-01-01,0,17,212.5,0.0
158,EMP-2215,2024-01-01,1,0,0.0,99.57
159,EMP-2216,2024-01-01,0,13,162.5,0.0
160,EMP-2217,2024-01-01,0,14,175.0,0.0
161,EMP-2219,2024-01-01,0,19,237.5,0.0
162,EMP-2220,2024-01-01,0,0,0.0,0.0
163,EMP-2221,2024-01-01,0,9,112.5,0.0
164,EMP-2222,2024-01-01,0,14,175.0,0.0
165,EMP-2223,2024-01-01,0,19,237.5,0.0
166,EMP-2224,2024-01-01,0,10,125.0,0.0
167,EMP-2225,2024-01-01,0,10,125.0,0.0
168,EMP-2226,2024-01-01,2,0,0.0,90.2
169,EMP-2227,2024-01-01,0,10,125.0,0.0
170,EMP-2229,2024-01-01,0,9,112.5,0.0
171,EMP-2230,2024-01-01,0,3,37.5,0.0
172,EMP-2231,2024-01-01,1,0,0.0,59.7
173,EMP-2232,2024-01-01,0,16,200.0,0.0
174,EMP-2233,2024-01-01,2,0,0.0,295.27
175,EMP-2235,2024-01-01,0,6,75.0,0.0
176,EMP-2236,2024-01-01,2,0,0.0,153.47
177,EMP-2237,2024-01-01,0,2,25.0,0.0
178,EMP-2238,2024-01-01,0,20,250.0,0.0
179,EMP-2239,2024-01-01,0,9,112.5,0.0
180,EMP-2240,2024-01-01,0,7,87.5,0.0
181,EMP-2242,2024-01-01,1,0,0.0,30.97
182,EMP-2243,2024-01-01,1,0,0.0,27.93
183,EMP-2245,2024-01-01,0,19,237.5,0.0
184,EMP-2246,2024-01-01,0,10,125.0,0.0
185,EMP-2247,2024-01-01,0,10,125.0,0.0
186,EMP-2248,2024-01-01,0,19,237.5,0.0
187,EMP-2251,2024-01-01,0,13,162.5,0.0
188,EMP-2252,2024-01-01,0,20,250.0,0.0
189,EMP-2253,2024-01-01,0,5,62.5,0.0
190,EMP-2255,2024-01-01,1,0,0.0,85.9
191,EMP-2256,2024-01-01,2,0,0.0,69.6
192,EMP-2257,2024-01-01,0,9,112.5,0.0
193,EMP-2258,2024-01-01,1,0,0.0,47.3
194,EMP-2259,2024-01-01,0,12,150.0,0.0
195,EMP-2260,2024-01-01,0,10,125.0,0.0
196,EMP-2261,2024-01-01,0,5,62.5,0.0
197,EMP-2262,2024-01-01,0,11,137.5,0.0
198,EMP-2263,2024-01-01,0,4,50.0,0.0
199,EMP-2264,2024-01-01,0,14,175.0,0.0
200,EMP-2265,2024-01-01,1,0,0.0,43.1
201,EMP-2266,2024-01-01,0,17,212.5,0.0
202,EMP-2267,2024-01-01,0,20,250.0,0.0
203,EMP-2270,2024-01-01,2,0,0.0,84.2
204,EMP-2271,2024-01-01,0,5,62.5,0.0
205,EMP-2272,2024-01-01,2,0,0.0,79.47
206,EMP-2275,2024-01-01,0,8,100.0,0.0
207,EMP-2276,2024-01-01,1,0,0.0,35.33
208,EMP-2277,2024-01-01,0,10,125.0,0.0
209,EMP-2281,2024-01-01,0,13,162.5,0.0
210,EMP-2283,2024-01-01,0,13,162.5,0.0
211,EMP-2284,2024-01-01,0,4,50.0,0.0
212,EMP-2285,2024-01-01,0,18,225.0,0.0
213,EMP-2286,2024-01-01,2,0,0.0,45.67
214,EMP-2288,2024-01-01,0,13,162.5,0.0
215,EMP-2289,2024-01-01,5,0,0.0,234.0
216,EMP-2290,2024-01-01,2,0,0.0,112.67
217,EMP-2294,2024-01-01,0,1,12.5,0.0
218,EMP-2295,2024-01-01,0,2,25.0,0.0
219,EMP-2297,2024-01-01,2,0,0.0,58.2
220,EMP-2299,2024-01-01,1,0,0.0,48.87
221,EMP-2300,2024-01-01,0,19,237.5,0.0
222,EMP-2301,2024-01-01,1,0,0.0,29.6
223,EMP-2302,2024-01-01,0,14,175.0,0.0
224,EMP-2303,2024-01-01,3,0,0.0,135.0
225,EMP-2304,2024-01-01,0,18,225.0,0.0
226,EMP-2305,2024-01-01,0,8,100.0,0.0
227,EMP-2306,2024-01-01,0,4,50.0,0.0
228,EMP-2307,2024-01-01,0,6,75.0,0.0
229,EMP-2308,2024-01-01,0,16,200.0,0.0
230,EMP-2310,2024-01-01,1,0,0.0,57.6
231,EMP-2311,2024-01-01,0,20,250.0,0.0
232,EMP-2312,2024-01-01,0,18,225.0,0.0
233,EMP-2313,2024-01-01,0,15,187.5,0.0
234,EMP-2314,2024-01-01,0,10,125.0,0.0
235,EMP-2315,2024-01-01,0,1,12.5,0.0
236,EMP-2316,2024-01-01,0,14,175.0,0.0
237,EMP-2317,2024-01-01,1,0,0.0,144.6
238,EMP-2318,2024-01-01,0,20,250.0,0.0
239,EMP-2319,2024-01-01,3,0,0.0,322.2
240,EMP-2320,2024-01-01,0,15,187.5,0.0
241,EMP-2322,2024-01-01,1,0,0.0,48.27
242,EMP-2323,2024-01-01,0,11,137.5,0.0
243,EMP-2324,2024-01-01,2,0,0.0,79.67
244,EMP-2325,2024-01-01,0,11,137.5,0.0
245,EMP-2326,2024-01-01,0,2,25.0,0.0
246,EMP-2327,2024-01-01,0,15,187.5,0.0
247,EMP-2328,2024-01-01,0,19,237.5,0.0
248,EMP-2330,2024-01-01,2,0,0.0,93.27
249,EMP-2333,2024-01-01,0,20,250.0,0.0
250,EMP-2334,2024-01-01,2,0,0.0,170.73
251,EMP-2336,2024-01-01,3,0,0.0,219.7
252,EMP-2337,2024-01-01,1,0,0.0,24.17
253,EMP-2338,2024-01-01,0,17,212.5,0.0
254,EMP-2340,2024-01-01,1,0,0.0,22.03
255,EMP-2342,2024-01-01,0,4,50.0,0.0
256,EMP-2343,2024-01-01,2,0,0.0,262.27
257,EMP-2344,2024-01-01,1,0,0.0,71.13
258,EMP-2345,2024-01-01,0,12,150.0,0.0
259,EMP-2346,2024-01-01,0,4,50.0,0.0
260,EMP-2347,2024-01-01,0,18,225.0,0.0
261,EMP-2350,2024-01-01,2,0,0.0,46.27
262,EMP-2351,2024-01-01,0,18,225.0,0.0
263,EMP-2352,2024-01-01,0,12,150.0,0.0
264,EMP-2356,2024-01-01,0,10,125.0,0.0
265,EMP-2357,2024-01-01,0,19,237.5,0.0
266,EMP-2358,2024-01-01,0,18,225.0,0.0
267,EMP-2359,2024-01-01,0,14,175.0,0.0
268,EMP-2361,2024-01-01,1,0,0.0,22.23
269,EMP-2362,2024-01-01,1,0,0.0,20.93
270,EMP-2364,2024-01-01,0,18,225.0,0.0
271,EMP-2366,2024-01-01,0,2,25.0,0.0
272,EMP-2367,2024-01-01,0,16,200.0,0.0
273,EMP-2368,2024-01-01,0,0,0.0,0.0
274,EMP-2370,2024-01-01,0,17,212.5,0.0
275,EMP-2371,2024-01-01,1,0,0.0,42.33
276,EMP-2373,2024-01-01,1,0,0.0,101.33
277,EMP-2374,2024-01-01,2,0,0.0,50.67
278,EMP-2375,2024-01-01,0,9,112.5,0.0
279,EMP-2376,2024-01-01,0,11,137.5,0.0
280,EMP-2377,2024-01-01,0,18,225.0,0.0
281,EMP-2379,2024-01-01,0,4,50.0,0.0
282,EMP-2382,2024-01-01,0,14,175.0,0.0
283,EMP-2383,2024-01-01,3,0,0.0,175.7
284,EMP-2384,2024-01-01,2,0,0.0,99.53
285,EMP-2385,2024-01-01,1,0,0.0,39.93
286,EMP-2387,2024-01-01,0,6,75.0,0.0
287,EMP-2390,2024-01-01,0,13,162.5,0.0
288,EMP-2392,2024-01-01,1,0,0.0,22.77
289,EMP-2394,2024-01-01,2,0,0.0,53.87
290,EMP-2395,2024-01-01,0,16,200.0,0.0
291,EMP-2396,2024-01-01,1,0,0.0,44.07
292,EMP-2398,2024-01-01,2,0,0.0,76.13
293,EMP-2399,2024-01-01,0,8,100.0,0.0
294,EMP-2402,2024-01-01,1,0,0.0,28.57
295,EMP-2405,2024-01-01,3,0,0.0,116.0
296,EMP-2406,2024-01-01,0,11,137.5,0.0
297,EMP-2407,2024-01-01,1,0,0.0,30.1
298,EMP-2408,2024-01-01,0,6,75.0,0.0
299,EMP-2409,2024-01-01,0,9,112.5,0.0
300,EMP-2410,2024-01-01,1,0,0.0,58.93
301,EMP-2411,2024-01-01,5,0,0.0,238.67
302,EMP-2412,2024-01-01,0,17,212.5,0.0
303,EMP-2413,2024-01-01,0,20,250.0,0.0
304,EMP-2415,2024-01-01,0,16,200.0,0.0
305,EMP-2418,2024-01-01,0,18,225.0,0.0
306,EMP-2420,2024-01-01,0,10,125.0,0.0
307,EMP-2423,2024-01-01,1,0,0.0,38.77
308,EMP-2424,2024-01-01,0,10,125.0,0.0
309,EMP-2425,2024-01-01,0,11,137.5,0.0
310,EMP-2426,2024-01-01,0,9,112.5,0.0
311,EMP-2428,2024-01-01,0,8,100.0,0.0
312,EMP-2429,2024-01-01,0,11,137.5,0.0
313,EMP-2431,2024-01-01,0,0,0.0,0.0
314,EMP-2433,2024-01-01,0,6,75.0,0.0
315,EMP-2434,2024-01-01,1,0,0.0,68.87
316,EMP-2435,2024-01-01,3,0,0.0,433.0
317,EMP-2437,2024-01-01,0,17,212.5,0.0
318,EMP-2438,2024-01-01,2,0,0.0,75.67
319,EMP-2440,2024-01-01,0,8,100.0,0.0
320,EMP-2441,2024-01-01,0,1,12.5,0.0
321,EMP-2442,2024-01-01,0,9,112.5,0.0
322,EMP-2443,2024-01-01,0,15,187.5,0.0
323,EMP-2445,2024-01-01,1,0,0.0,36.37
324,EMP-2446,2024-01-01,0,7,87.5,0.0
325,EMP-2450,2024-01-01,0,8,100.0,0.0
326,EMP-2452,2024-01-01,1,0,0.0,93.53
327,EMP-2453,2024-01-01,0,12,150.0,0.0
328,EMP-2455,2024-01-01,0,0,0.0,0.0
329,EMP-2456,2024-01-01,0,3,37.5,0.0
330,EMP-2457,2024-01-01,1,0,0.0,41.27
331,EMP-2458,2024-01-01,0,17,212.5,0.0
332,EMP-2459,2024-01-01,1,0,0.0,34.93
333,EMP-2461,2024-01-01,0,4,50.0,0.0
334,EMP-2462,2024-01-01,0,19,237.5,0.0
335,EMP-2463,2024-01-01,0,20,250.0,0.0
336,EMP-2464,2024-01-01,1,0,0.0,50.87
337,EMP-2465,2024-01-01,0,0,0.0,0.0
338,EMP-2466,2024-01-01,2,0,0.0,205.2
339,EMP-2469,2024-01-01,1,0,0.0,144.03
340,EMP-2471,2024-01-01,1,0,0.0,118.07
341,EMP-2472,2024-01-01,1,0,0.0,36.7
342,EMP-2475,2024-01-01,3,0,0.0,148.7
343,EMP-2476,2024-01-01,0,13,162.5,0.0
344,EMP-2477,2024-01-01,0,10,125.0,0.0
345,EMP-2478,2024-01-01,5,0,0.0,191.67
346,EMP-2479,2024-01-01,0,6,75.0,0.0
347,EMP-2481,2024-01-01,0,4,50.0,0.0
348,EMP-2482,2024-01-01,0,16,200.0,0.0
349,EMP-2483,2024-01-01,1,0,0.0,129.27
350,EMP-2484,2024-01-01,0,9,112.5,0.0
351,EMP-2486,2024-01-01,0,11,137.5,0.0
352,EMP-2489,2024-01-01,0,2,25.0,0.0
353,EMP-2491,2024-01-01,0,11,137.5,0.0
354,EMP-2492,2024-01-01,1,0,0.0,42.57
355,EMP-2493,2024-01-01,0,17,212.5,0.0
356,EMP-2495,2024-01-01,2,0,0.0,88.4
357,EMP-2496,2024-01-01,0,0,0.0,0.0
358,EMP-2497,2024-01-01,0,15,187.5,0.0
359,EMP-2498,2024-01-01,2,0,0.0,112.2
360,EMP-2499,2024-01-01,0,16,200.0,0.0
361,EMP-2500,2024-01-01,3,0,0.0,378.3
362,EMP-2501,2024-01-01,1,0,0.0,58.87
363,EMP-2502,2024-01-01,0,12,150.0,0.0
364,EMP-2503,2024-01-01,1,0,0.0,21.27
365,EMP-2504,2024-01-01,1,0,0.0,37.9
366,EMP-2505,2024-01-01,0,12,150.0,0.0
367,EMP-2506,2024-01-01,1,0,0.0,54.4
368,EMP-2508,2024-01-01,3,0,0.0,119.4
369,EMP-2511,2024-01-01,0,12,150.0,0.0
370,EMP-2512,2024-01-01,0,16,200.0,0.0
371,EMP-2513,2024-01-01,0,10,125.0,0.0
372,EMP-2514,2024-01-01,1,0,0.0,47.23
373,EMP-2517,2024-01-01,0,18,225.0,0.0
374,EMP-2518,2024-01-01,1,0,0.0,54.67
